Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q10a,Q10b,Q10c,Q10d,Q10e,Q10f,Q10g,Q11,Q11a,Q11b,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11
25-35,she/hers,White,Yes,Yes,Unsure,Unsure,Less than 5 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly",As I built a personal relationship with colleagues,When my illness/disability impacted my work,,,,,,No,,,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree        ,Agree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Neither agree nor disagree      ,Disagree        ,Disagree        ,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Disagree,N/A,N/A,N/A,Neither agree nor disagree,Strongly disagree,N/A,N/A,N/A,N/A
25-35,she/hers,"Hispanic/Latinx,White",Yes,Yes,No,No,5-10 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Other library administrator/manager that I do not report to directly",As I built a personal relationship with colleagues,When requesting accommodations,When requesting accommodations,When requesting accommodations,,,,Yes,Yes,Other,N/A,Disagree,Strongly agree,Disagree,Agree,N/A,Disagree,Agree        ,Agree        ,Agree        ,Disagree        ,Agree        ,Agree        ,Disagree        ,Disagree        ,Strongly disagree        ,Disagree,Disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,N/A,N/A,Disagree,Disagree,Disagree,Agree
55 or older,she/hers,White,No,No,Yes,Yes,10-15 years,Less than 2 years,Colleagues I work with regularly,,As I built a personal relationship with colleagues,,,,,,No,,,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,N/A,N/A,N/A,Disagree,Disagree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,Less than 5 years,Less than 2 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director)",As I built a personal relationship with colleagues,When my illness/disability impacted my work,Once I began working,,,,,Unsure,,,Agree,Agree,Neither agree nor disagree,N/A,N/A,Agree,N/A,Disagree        ,Agree        ,Neither agree nor disagree      ,Disagree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Disagree,Agree,Neither agree nor disagree,Agree,N/A,Agree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
25-35,he/his,Black/African American,Yes,Yes,Yes,Yes,5-10 years,2-5 years,I am open about my illness/disability with everyone,,,,,,,"Once I began working,Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,As I built a personal relationship with colleagues,When requesting accommodations",Yes,Yes,"Work environment (furniture, office location, etc.)",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Agree        ,Agree        ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
55 or older,she/hers,White,Yes,Yes,Yes,Yes,20+ years,2-5 years,Colleagues I work with regularly,,When my illness/disability impacted my work,,,,,,No,,,Agree,Agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Disagree        ,Strongly agree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,N/A,N/A,Agree        ,Agree        ,Strongly disagree,Agree,Strongly agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Disagree,N/A,N/A,N/A,Disagree,Strongly agree,N/A,N/A,N/A,N/A
55 or older,she/hers,White,Yes,Yes,No,,20+ years,15-20 years,"Colleagues I consider close friends,My direct supervisor (if not library director)","When my illness/disability impacted my work,As I built a personal relationship with colleagues",,When my illness/disability impacted my work,,,,,No,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Agree        ,Agree        ,Agree        ,Agree        ,Agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Strongly disagree,N/A,N/A,N/A,N/A,Disagree,Agree,N/A,N/A,N/A,N/A
25-35,he/his,White,Yes,Yes,Yes,Yes,5-10 years,Less than 2 years,"Colleagues I consider close friends,My direct supervisor (if not library director)",,,,,,,,No,,,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly agree        ,Strongly agree        ,Neither agree nor disagree      ,N/A,N/A,Neither agree nor disagree      ,Disagree        ,Agree        ,Neither agree nor disagree      ,Agree,Agree,Neither agree nor disagree,Disagree,Strongly agree,Agree,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly disagree,N/A,N/A,N/A,Strongly agree,,N/A,N/A,N/A,N/A
25-35,she/hers,White,No,No,Yes,Yes,5-10 years,2-5 years,"My direct supervisor (if not library director),Library director ,Human Resources/disability office",,,"Once I began working,When requesting accommodations",,"Once I began working,When requesting accommodations",Once I began working,,Yes,Yes,"Work environment (furniture, office location, etc.),Work schedule (change in hours, work from home, etc)",Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly disagree,Neither agree nor disagree      ,Strongly agree        ,Disagree        ,Neither agree nor disagree      ,Agree        ,Agree        ,Neither agree nor disagree      ,Agree        ,Strongly agree        ,Agree,Strongly agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree
35-45,she/hers,White,Yes,Yes,No,No,15-20 years,10-15 years,"Colleagues I consider close friends,My direct supervisor (if not library director)",When my illness/disability impacted my work,,When my illness/disability impacted my work,,,,,No,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree        ,Agree        ,Agree        ,Disagree        ,Agree        ,Agree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,No,No,Less than 5 years,2-5 years,Colleagues I consider close friends,When my illness/disability impacted my work,,,,,,,No,,,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Disagree        ,Disagree        ,N/A,N/A,Disagree        ,Strongly agree        ,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,N/A,Agree,Disagree,N/A,N/A,N/A,N/A
25-35,he/his,White,Yes,Yes,Yes,Yes,5-10 years,Less than 2 years,"Colleagues I work with regularly,My direct supervisor (if not library director),Library director ",,During the interview/hiring process,During the interview/hiring process,,During the interview/hiring process,,,Yes,Yes,"Work environment (furniture, office location, etc.)",Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree        ,Disagree        ,Strongly disagree        ,Disagree        ,Strongly disagree        ,Agree        ,Agree        ,Agree        ,N/A,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
45-55,she/hers,White,Yes,Yes,No,No,15-20 years,15-20 years,"Colleagues I consider close friends,My direct supervisor (if not library director)","When my illness/disability impacted my work,As I built a personal relationship with colleagues",,When my illness/disability impacted my work,,,,,Yes,Yes,"Work environment (furniture, office location, etc.)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Agree        ,Agree        ,Neither agree nor disagree      ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Disagree        ,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Agree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
45-55,she/hers,White,Yes,Yes,Yes,Yes,15-20 years,5-10 years,"Colleagues I consider close friends,Colleagues I work with regularly,Library director ","When my illness/disability impacted my work,As I built a personal relationship with colleagues",As I built a personal relationship with colleagues,,,When my illness/disability impacted my work,,,No,,,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree        ,Agree        ,Agree        ,Strongly disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree
35-45,she/hers,"Black/African American,White",Yes,No,Yes,Yes,10-15 years,5-10 years,"Colleagues I consider close friends,My direct supervisor (if not library director),Human Resources/disability office",As I built a personal relationship with colleagues,,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,Yes,Yes,"Work schedule (change in hours, work from home, etc),Other",Agree,Disagree,N/A,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
55 or older,she/hers,White,Yes,Yes,Yes,Yes,15-20 years,5-10 years,"Colleagues I work with regularly,Library director ,Human Resources/disability office",,"During the interview/hiring process,Once I began working,When requesting accommodations",,,During the interview/hiring process,When requesting accommodations,,Yes,Yes,"Work environment (furniture, office location, etc.)",Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree        ,Disagree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Neither agree nor disagree      ,Disagree        ,Disagree        ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
55 or older,she/hers,White,Yes,Yes,Yes,Yes,20+ years,20+ years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Library director ",Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,"Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work",,Upon receiving a diagnosis or beginning treatment,,,No,,,Strongly disagree,N/A,N/A,N/A,N/A,N/A,N/A,Agree        ,Neither agree nor disagree      ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Agree        ,Disagree        ,Agree        ,Disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
45-55,she/hers,White,Yes,Yes,Yes,Yes,15-20 years,15-20 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Human Resources/disability office",When my illness/disability impacted my work,When my illness/disability impacted my work,When my illness/disability impacted my work,,,Upon receiving a diagnosis or beginning treatment,,Yes,Yes,"Work schedule (change in hours, work from home, etc)",Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree        ,Agree        ,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Agree        ,Disagree        ,Disagree        ,Disagree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree
35-45,he/his,White,Yes,Yes,Unsure,Yes,5-10 years,Less than 2 years,No one,,,,,,,,No,,,Agree,Agree,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Neither agree nor disagree      ,Strongly agree        ,N/A,N/A,N/A,N/A,N/A,Agree        ,Agree        ,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,N/A,N/A,N/A,N/A,Agree,Strongly agree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,Less than 2 years,"Colleagues I work with regularly,I am open about my illness/disability with everyone",,"Once I began working,When requesting accommodations",,,,,"Once I began working,When requesting accommodations",Yes,Yes,"Work environment (furniture, office location, etc.),Work schedule (change in hours, work from home, etc)",Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Neither agree nor disagree      ,Disagree        ,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
35-45,she/hers,White,Yes,Yes,Yes,Yes,Less than 5 years,Less than 2 years,"Human Resources/disability office,Other",,,,,,During the interview/hiring process,,No,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Disagree,Strongly disagree        ,Neither agree nor disagree      ,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Agree        ,Strongly agree        ,Agree,Neither agree nor disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,Agree,Agree,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,Yes,Yes,15-20 years,Less than 2 years,"Colleagues I consider close friends,Colleagues I work with regularly",As I built a personal relationship with colleagues,As I built a personal relationship with colleagues,,,,,,No,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Agree        ,Agree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,N/A,N/A,Neither agree nor disagree      ,Neither agree nor disagree      ,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Disagree,Disagree,N/A,N/A,N/A,Agree,Agree,N/A,N/A,N/A,N/A
55 or older,she/hers,White,No,No,Yes,Yes,20+ years,20+ years,"Colleagues I work with regularly,Library director ",,Other,,,Other,,,No,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Strongly agree        ,Disagree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Disagree,Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
55 or older,she/hers,White,Yes,Yes,No,Unsure,20+ years,15-20 years,"Colleagues I consider close friends,My direct supervisor (if not library director)",When my illness/disability impacted my work,,When my illness/disability impacted my work,,,,,No,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Strongly disagree        ,Strongly disagree        ,Disagree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Agree        ,Neither agree nor disagree      ,Disagree        ,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
45-55,she/hers,White,Yes,Yes,Yes,Yes,20+ years,15-20 years,I am open about my illness/disability with everyone,,,,,,,When my illness/disability impacted my work,Yes,Yes,"Work environment (furniture, office location, etc.)",Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree        ,Strongly disagree        ,Strongly disagree        ,Disagree        ,Agree        ,Agree        ,Strongly disagree        ,Disagree        ,Strongly agree        ,Strongly agree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree
25-35,they/them,White,No,No,Yes,Yes,Less than 5 years,Less than 2 years,No one,,,,,,,,No,,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree        ,Agree        ,N/A,Neither agree nor disagree      ,Strongly agree        ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Agree,Disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,N/A,N/A,N/A,Agree,Strongly agree,N/A,N/A,N/A,N/A
35-45,she/hers,White,Yes,Yes,No,,15-20 years,5-10 years,No one,,,,,,,,No,,,N/A,N/A,Agree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Disagree        ,Agree        ,N/A,N/A,N/A,N/A,N/A,Agree        ,Agree        ,Disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,N/A,N/A,N/A,N/A,N/A,Disagree,Strongly agree,N/A,N/A,N/A,N/A
45-55,he/his,White,Yes,Yes,Yes,Yes,15-20 years,2-5 years,"Library director ,Human Resources/disability office",,,,,When my illness/disability impacted my work,When my illness/disability impacted my work,,No,,,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Disagree,Disagree        ,Agree        ,N/A,N/A,N/A,Agree        ,Agree        ,Agree        ,Agree        ,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree
25-35,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Other library administrator/manager that I do not report to directly,Library director ,Human Resources/disability office,I am open about my illness/disability with everyone","When my illness/disability impacted my work,As I built a personal relationship with colleagues","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,As I built a personal relationship with colleagues","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work","During the interview/hiring process,When requesting accommodations","As I built a personal relationship with colleagues,When requesting accommodations",Yes,Yes,"Work environment (furniture, office location, etc.)",Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree        ,Strongly agree        ,Agree        ,Strongly disagree        ,Strongly disagree        ,Strongly agree        ,Strongly agree        ,Disagree        ,Strongly disagree        ,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
25-35,she/hers,White,Yes,Yes,No,,10-15 years,2-5 years,Colleagues I consider close friends,As I built a personal relationship with colleagues,,,,,,,No,,,N/A,N/A,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree        ,Strongly agree        ,Strongly agree        ,N/A,N/A,N/A,N/A,Strongly agree        ,Strongly agree        ,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,N/A,N/A,N/A,N/A,Strongly agree,Strongly agree,N/A,N/A,N/A,N/A
25-35,she/hers,White,Yes,Yes,Yes,Yes,Less than 5 years,Less than 2 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Other library administrator/manager that I do not report to directly,Other","When my illness/disability impacted my work,As I built a personal relationship with colleagues","When my illness/disability impacted my work,As I built a personal relationship with colleagues",During the interview/hiring process,When my illness/disability impacted my work,,,,Unsure,,,N/A,N/A,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Disagree        ,Strongly agree        ,Agree        ,Strongly disagree        ,Neither agree nor disagree      ,Strongly agree        ,Strongly agree        ,Agree        ,Disagree        ,Disagree,Disagree,Disagree,Strongly agree,Agree,N/A,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,N/A,N/A,N/A,N/A,N/A,Disagree,Neither agree nor disagree,N/A,N/A,N/A,N/A
25-35,he/his,Other,Yes,Unsure,No,No,Less than 5 years,Less than 2 years,Colleagues I work with regularly,,When my illness/disability impacted my work,,,,,,No,,,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Agree,Disagree,Disagree        ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Agree        ,Disagree        ,Disagree        ,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree
35-45,she/hers,White,Yes,Yes,No,No,10-15 years,5-10 years,"Colleagues I consider close friends,Colleagues I work with regularly,My direct supervisor (if not library director),Other library administrator/manager that I do not report to directly,Human Resources/disability office","As I built a personal relationship with colleagues,When requesting accommodations","When my illness/disability impacted my work,As I built a personal relationship with colleagues,When requesting accommodations","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,As I built a personal relationship with colleagues,When requesting accommodations","Upon receiving a diagnosis or beginning treatment,When my illness/disability impacted my work,As I built a personal relationship with colleagues,When requesting accommodations",,"When my illness/disability impacted my work,When requesting accommodations",,Yes,Yes,"Work schedule (change in hours, work from home, etc)",Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree      ,Agree        ,Disagree        ,Disagree        ,Disagree        ,Strongly agree        ,Strongly agree        ,Agree        ,Strongly agree        ,Neither agree nor disagree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
35-45,she/hers,White,Yes,Yes,Yes,Yes,5-10 years,2-5 years,I am open about my illness/disability with everyone,,,,,,,"When my illness/disability impacted my work,When requesting accommodations",Yes,Yes,"Work environment (furniture, office location, etc.),Work schedule (change in hours, work from home, etc)",Agree,Neither agree nor disagree,N/A,N/A,N/A,Agree,Disagree,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Disagree        ,Agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Agree,Disagree,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree
35-45,she/hers,"Hispanic/Latinx,White,Other",Yes,Yes,Yes,Yes,Less than 5 years,2-5 years,"Colleagues I consider close friends,Colleagues I work with regularly",As I built a personal relationship with colleagues,When my illness/disability impacted my work,,,,,,No,,,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree        ,Agree        ,Strongly agree        ,Agree        ,Agree        ,Neither agree nor disagree      ,Disagree        ,Agree        ,Strongly agree        ,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Neither agree nor disagree,N/A,N/A,N/A,N/A,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Agree
35-45,she/hers,White,Yes,Yes,No,No,5-10 years,5-10 years,Colleagues I work with regularly,,As I built a personal relationship with colleagues,,,,,,No,,,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Neither agree nor disagree,Agree        ,Agree        ,Neither agree nor disagree      ,N/A,N/A,Neither agree nor disagree      ,Neither agree nor disagree      ,Neither agree nor disagree      ,Agree        ,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,Neither agree nor disagree,N/A,N/A,N/A,N/A,Agree,Agree,N/A,N/A,N/A,Neither agree nor disagree
